,header,line,caption,tag,normed,,
0,p011a1,pelo,1.1. Partes del cuerpo,CERE::a1::p011,pelo,1.1. Body parts --- hair, hair
1,p011a1,ojo,1.1. Partes del cuerpo,CERE::a1::p011,ojo,1.1. Body parts --- eye, eye
2,p011a1,nariz,1.1. Partes del cuerpo,CERE::a1::p011,nariz,1.1. Body parts --- nose, nose
3,p012a1,ser feo,1.2. Características físicas,CERE::a1::p012,a ser feo,1.2. Physical characteristics --- To be ugly, To be ugly
4,p012a1,ser rubio,1.2. Características físicas,CERE::a1::p012,a ser rubio,1.2. Physical characteristics --- To be blond, To be blond
5,p012a1,ser moreno,1.2. Características físicas,CERE::a1::p012,a ser moreno,1.2. Physical characteristics --- To be Moreno, To be Moreno
6,p012a1,tener el pelo rubio,1.2. Características físicas,CERE::a1::p012,a tener el pelo rubio,1.2. Physical characteristics --- To have blond hair, To have blond hair
7,p012a1,tener el pelo moreno,1.2. Características físicas,CERE::a1::p012,a tener el pelo moreno,1.2. Physical characteristics --- To have brown hair, To have brown hair
8,p012a1,tener el pelo blanco,1.2. Características físicas,CERE::a1::p012,a tener el pelo blanco,1.2. Physical characteristics --- To have white hair, To have white hair
9,p012a1,tener bigote,1.2. Características físicas,CERE::a1::p012,a tener bigote,1.2. Physical characteristics --- To have a mustache, To have a mustache
10,p012a1,ser guapo,1.2. Características físicas,CERE::a1::p012,a ser guapo,1.2. Physical characteristics --- To be handsome, To be handsome
11,p012a1,tener gafas,1.2. Características físicas,CERE::a1::p012,a tener gafas,1.2. Physical characteristics --- To have glasses, To have glasses
12,p012a1,tener los ojos claros,1.2. Características físicas,CERE::a1::p012,a tener los ojos claros,1.2. Physical characteristics --- To have clear eyes, To have clear eyes
13,p012a1,tener los ojos oscuros,1.2. Características físicas,CERE::a1::p012,a tener los ojos oscuros,1.2. Physical characteristics --- To have dark eyes, To have dark eyes
14,p012a1,tener los ojos azules,1.2. Características físicas,CERE::a1::p012,a tener los ojos azules,1.2. Physical characteristics --- To have blue eyes, To have blue eyes
15,p012a1,tener los ojos verdes,1.2. Características físicas,CERE::a1::p012,a tener los ojos verdes,1.2. Physical characteristics --- To have green eyes, To have green eyes
16,p012a1,llevar barba,1.2. Características físicas,CERE::a1::p012,a llevar barba,1.2. Physical characteristics --- To carry a beard, To carry a beard
17,p012a1,ser delgado,1.2. Características físicas,CERE::a1::p012,a ser delgado,1.2. Physical characteristics --- to be thin, to be thin
